HMD ; 2024-10-10 16:31:27.610 ;
timestamp; status;interrupt;globalPosition; ; ;localPosition; ; ;globalRotation; ; ; ;localRotation; ; ; ;
msec; Game Status; code;x; y; z;x; y; z;x; y; z; w;x; y; z; w;
75.17167 ;0 ;5 ;0 ;0 ;-4.21 ;0 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
75.16 ;0 ; ;0 ;0 ;-4.21 ;0 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
75.18 ;0 ; ;-0.05017614 ;2.237491 ;-4.264663 ;-0.05017614 ;2.237491 ;-0.05466306 ;-0.006353406 ;-0.03953698 ;0.003085365 ;0.9991932 ;-0.006353406 ;-0.03953698 ;0.003085365 ;0.9991932 ;
75.2 ;0 ; ;-0.05037403 ;2.23722 ;-4.264059 ;-0.05037403 ;2.23722 ;-0.05405915 ;-0.005423531 ;-0.03882952 ;0.003377464 ;0.9992254 ;-0.005423531 ;-0.03882952 ;0.003377464 ;0.9992254 ;
75.22 ;0 ; ;-0.05055881 ;2.235984 ;-4.263952 ;-0.05055881 ;2.235984 ;-0.05395174 ;0.001548491 ;-0.0408461 ;0.003518219 ;0.9991581 ;0.001548491 ;-0.0408461 ;0.003518219 ;0.9991581 ;
75.24 ;0 ; ;-0.05086207 ;2.235034 ;-4.263569 ;-0.05086207 ;2.235034 ;-0.05356908 ;0.006598786 ;-0.04170388 ;0.003648999 ;0.9991016 ;0.006598786 ;-0.04170388 ;0.003648999 ;0.9991016 ;
75.25999 ;0 ; ;-0.0509727 ;2.234625 ;-4.263292 ;-0.0509727 ;2.234625 ;-0.05329168 ;0.00811834 ;-0.04252543 ;0.003793562 ;0.9990553 ;0.00811834 ;-0.04252543 ;0.003793562 ;0.9990553 ;
75.28 ;0 ; ;-0.05111194 ;2.233998 ;-4.262667 ;-0.05111194 ;2.233998 ;-0.0526669 ;0.01041393 ;-0.04378272 ;0.003366295 ;0.9989812 ;0.01041393 ;-0.04378272 ;0.003366295 ;0.9989812 ;
75.3 ;0 ; ;-0.05122232 ;2.233695 ;-4.26239 ;-0.05122232 ;2.233695 ;-0.0523901 ;0.01175509 ;-0.04417108 ;0.003331869 ;0.9989493 ;0.01175509 ;-0.04417108 ;0.003331869 ;0.9989493 ;
