RightController ; 2024-10-10 16:31:27.610 ;
timestamp; status;interrupt;globalPosition; ; ;localPosition; ; ;globalRotation; ; ; ;localRotation; ; ; ;
msec; Game Status; code;x; y; z;x; y; z;x; y; z; w;x; y; z; w;
75.17167 ;0 ;5 ;0.62 ;0 ;-4.21 ;0.62 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
75.16 ;0 ; ;0.62 ;0 ;-4.21 ;0.62 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
75.18 ;0 ; ;0.1198871 ;1.61553 ;-3.952456 ;0.1198871 ;1.61553 ;0.2575446 ;0.1423401 ;0.02379918 ;-0.2022674 ;0.9686387 ;0.1423401 ;0.02379918 ;-0.2022674 ;0.9686387 ;
75.2 ;0 ; ;0.1200519 ;1.615647 ;-3.953283 ;0.1200519 ;1.615647 ;0.2567168 ;0.1392677 ;0.02446771 ;-0.201495 ;0.9692294 ;0.1392677 ;0.02446771 ;-0.201495 ;0.9692294 ;
75.22 ;0 ; ;0.1200533 ;1.615647 ;-3.953284 ;0.1200533 ;1.615647 ;0.2567157 ;0.1392646 ;0.02447096 ;-0.2014984 ;0.9692291 ;0.1392646 ;0.02447096 ;-0.2014984 ;0.9692291 ;
75.24 ;0 ; ;0.1201348 ;1.615673 ;-3.952851 ;0.1201348 ;1.615673 ;0.2571489 ;0.1385816 ;0.02621184 ;-0.2011959 ;0.9693443 ;0.1385816 ;0.02621184 ;-0.2011959 ;0.9693443 ;
75.25999 ;0 ; ;0.1199026 ;1.615511 ;-3.952621 ;0.1199026 ;1.615511 ;0.2573789 ;0.1389418 ;0.02618074 ;-0.2006213 ;0.9694126 ;0.1389418 ;0.02618074 ;-0.2006213 ;0.9694126 ;
75.28 ;0 ; ;0.1193748 ;1.61527 ;-3.952214 ;0.1193748 ;1.61527 ;0.2577857 ;0.1398475 ;0.02529166 ;-0.2006184 ;0.9693066 ;0.1398475 ;0.02529166 ;-0.2006184 ;0.9693066 ;
75.3 ;0 ; ;0.1191871 ;1.615267 ;-3.952061 ;0.1191871 ;1.615267 ;0.257939 ;0.1397839 ;0.02479987 ;-0.2008597 ;0.9692785 ;0.1397839 ;0.02479987 ;-0.2008597 ;0.9692785 ;
75.32 ;0 ; ;0.1191802 ;1.615267 ;-3.952046 ;0.1191802 ;1.615267 ;0.2579538 ;0.139799 ;0.02488986 ;-0.2008615 ;0.9692737 ;0.139799 ;0.02488986 ;-0.2008615 ;0.9692737 ;
75.34 ;0 ; ;0.11882 ;1.615264 ;-3.951952 ;0.11882 ;1.615264 ;0.2580475 ;0.1400547 ;0.02328375 ;-0.2002248 ;0.9694085 ;0.1400547 ;0.02328375 ;-0.2002248 ;0.9694085 ;
