HMD ; 2024-10-10 16:41:10.743 ;
timestamp; status;interrupt;globalPosition; ; ;localPosition; ; ;globalRotation; ; ; ;localRotation; ; ; ;
msec; Game Status; code;x; y; z;x; y; z;x; y; z; w;x; y; z; w;
655.0001 ;0 ;5 ;0 ;0 ;-4.21 ;0 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
654.72 ;0 ; ;0 ;0 ;-4.21 ;0 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
654.74 ;0 ; ;0 ;0 ;-4.21 ;0 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
654.76 ;0 ; ;0 ;0 ;-4.21 ;0 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
654.78 ;0 ; ;0 ;0 ;-4.21 ;0 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
654.8 ;0 ; ;0 ;0 ;-4.21 ;0 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
654.82 ;0 ; ;0 ;0 ;-4.21 ;0 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
654.84 ;0 ; ;0 ;0 ;-4.21 ;0 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
654.86 ;0 ; ;0 ;0 ;-4.21 ;0 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
654.88 ;0 ; ;0 ;0 ;-4.21 ;0 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
654.9 ;0 ; ;0 ;0 ;-4.21 ;0 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
654.92 ;0 ; ;0 ;0 ;-4.21 ;0 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
654.94 ;0 ; ;0 ;0 ;-4.21 ;0 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
654.96 ;0 ; ;0 ;0 ;-4.21 ;0 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
654.98 ;0 ; ;0 ;0 ;-4.21 ;0 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
655 ;0 ; ;0 ;0 ;-4.21 ;0 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
655.02 ;0 ; ;-0.02689934 ;2.207906 ;-4.166462 ;-0.02689934 ;2.207906 ;0.04353774 ;0.08458332 ;0.01556039 ;-0.0106429 ;0.9962381 ;0.08458332 ;0.01556039 ;-0.0106429 ;0.9962381 ;
655.04 ;0 ; ;-0.02688837 ;2.207803 ;-4.166443 ;-0.02688837 ;2.207803 ;0.04355717 ;0.08469315 ;0.0159147 ;-0.01155779 ;0.996213 ;0.08469315 ;0.0159147 ;-0.01155779 ;0.996213 ;
655.06 ;0 ; ;-0.02690101 ;2.207769 ;-4.166526 ;-0.02690101 ;2.207769 ;0.04347384 ;0.08493343 ;0.01615529 ;-0.01205955 ;0.9961827 ;0.08493343 ;0.01615529 ;-0.01205955 ;0.9961827 ;
655.08 ;0 ; ;-0.02690554 ;2.207703 ;-4.166537 ;-0.02690554 ;2.207703 ;0.04346323 ;0.08513535 ;0.01616551 ;-0.01226098 ;0.9961628 ;0.08513535 ;0.01616551 ;-0.01226098 ;0.9961628 ;
655.1 ;0 ; ;-0.02683473 ;2.208081 ;-4.16679 ;-0.02683473 ;2.208081 ;0.04320967 ;0.08457958 ;0.01637386 ;-0.01173109 ;0.9962131 ;0.08457958 ;0.01637386 ;-0.01173109 ;0.9962131 ;
655.12 ;0 ; ;-0.02680802 ;2.208067 ;-4.166775 ;-0.02680802 ;2.208067 ;0.04322553 ;0.08461042 ;0.01640224 ;-0.01177235 ;0.9962096 ;0.08461042 ;0.01640224 ;-0.01177235 ;0.9962096 ;
655.14 ;0 ; ;-0.02676368 ;2.207983 ;-4.166807 ;-0.02676368 ;2.207983 ;0.0431931 ;0.08478897 ;0.01656083 ;-0.01170116 ;0.9961926 ;0.08478897 ;0.01656083 ;-0.01170116 ;0.9961926 ;
655.16 ;0 ; ;-0.0266428 ;2.207834 ;-4.16685 ;-0.0266428 ;2.207834 ;0.04315054 ;0.08527076 ;0.01677404 ;-0.01166281 ;0.9961483 ;0.08527076 ;0.01677404 ;-0.01166281 ;0.9961483 ;
655.18 ;0 ; ;-0.02662492 ;2.207801 ;-4.166851 ;-0.02662492 ;2.207801 ;0.04314923 ;0.08535252 ;0.01684203 ;-0.01166492 ;0.9961402 ;0.08535252 ;0.01684203 ;-0.01166492 ;0.9961402 ;
655.2 ;0 ; ;-0.02661633 ;2.207878 ;-4.166726 ;-0.02661633 ;2.207878 ;0.0432744 ;0.08511423 ;0.01661185 ;-0.01166558 ;0.9961644 ;0.08511423 ;0.01661185 ;-0.01166558 ;0.9961644 ;
655.22 ;0 ; ;-0.02669883 ;2.207982 ;-4.16673 ;-0.02669883 ;2.207982 ;0.04326952 ;0.08450469 ;0.01637016 ;-0.01182496 ;0.9962184 ;0.08450469 ;0.01637016 ;-0.01182496 ;0.9962184 ;
655.24 ;0 ; ;-0.02679348 ;2.208005 ;-4.166812 ;-0.02679348 ;2.208005 ;0.04318821 ;0.08464263 ;0.01620957 ;-0.0120961 ;0.9962061 ;0.08464263 ;0.01620957 ;-0.0120961 ;0.9962061 ;
655.26 ;0 ; ;-0.02678633 ;2.207911 ;-4.166771 ;-0.02678633 ;2.207911 ;0.04322922 ;0.08479044 ;0.01610645 ;-0.01213535 ;0.9961948 ;0.08479044 ;0.01610645 ;-0.01213535 ;0.9961948 ;
655.28 ;0 ; ;-0.02679157 ;2.207868 ;-4.166686 ;-0.02679157 ;2.207868 ;0.04331422 ;0.08496346 ;0.01602618 ;-0.01217933 ;0.9961807 ;0.08496346 ;0.01602618 ;-0.01217933 ;0.9961807 ;
655.3 ;0 ; ;-0.02678657 ;2.207744 ;-4.1666 ;-0.02678657 ;2.207744 ;0.04340041 ;0.08528005 ;0.01588679 ;-0.01203644 ;0.9961577 ;0.08528005 ;0.01588679 ;-0.01203644 ;0.9961577 ;
655.32 ;0 ; ;-0.02669883 ;2.207725 ;-4.166604 ;-0.02669883 ;2.207725 ;0.04339635 ;0.08577707 ;0.01600342 ;-0.01216195 ;0.9961116 ;0.08577707 ;0.01600342 ;-0.01216195 ;0.9961116 ;
655.34 ;0 ; ;-0.02669072 ;2.207587 ;-4.166433 ;-0.02669072 ;2.207587 ;0.04356658 ;0.08605134 ;0.01602402 ;-0.01213808 ;0.9960878 ;0.08605134 ;0.01602402 ;-0.01213808 ;0.9960878 ;
655.36 ;0 ; ;-0.02668715 ;2.207478 ;-4.166348 ;-0.02668715 ;2.207478 ;0.04365206 ;0.08623544 ;0.01604025 ;-0.01200578 ;0.9960733 ;0.08623544 ;0.01604025 ;-0.01200578 ;0.9960733 ;
655.38 ;0 ; ;-0.02669406 ;2.207318 ;-4.166204 ;-0.02669406 ;2.207318 ;0.04379606 ;0.08664328 ;0.01600178 ;-0.01171108 ;0.9960421 ;0.08664328 ;0.01600178 ;-0.01171108 ;0.9960421 ;
655.4 ;0 ; ;-0.02669525 ;2.207251 ;-4.166133 ;-0.02669525 ;2.207251 ;0.04386675 ;0.08681098 ;0.01597532 ;-0.01163723 ;0.9960288 ;0.08681098 ;0.01597532 ;-0.01163723 ;0.9960288 ;
655.42 ;0 ; ;-0.02702594 ;2.207346 ;-4.16615 ;-0.02702594 ;2.207346 ;0.04384995 ;0.0865181 ;0.01505402 ;-0.01155979 ;0.9960695 ;0.0865181 ;0.01505402 ;-0.01155979 ;0.9960695 ;
655.44 ;0 ; ;-0.0271709 ;2.207472 ;-4.166103 ;-0.0271709 ;2.207472 ;0.04389691 ;0.08605807 ;0.01495482 ;-0.01189865 ;0.9961069 ;0.08605807 ;0.01495482 ;-0.01189865 ;0.9961069 ;
655.46 ;0 ; ;-0.02718663 ;2.207517 ;-4.166019 ;-0.02718663 ;2.207517 ;0.04398108 ;0.08567056 ;0.01503778 ;-0.01270429 ;0.996129 ;0.08567056 ;0.01503778 ;-0.01270429 ;0.996129 ;
655.48 ;0 ; ;-0.02719092 ;2.2075 ;-4.165915 ;-0.02719092 ;2.2075 ;0.04408431 ;0.08568323 ;0.01523062 ;-0.01351475 ;0.9961144 ;0.08568323 ;0.01523062 ;-0.01351475 ;0.9961144 ;
655.5 ;0 ; ;-0.02720642 ;2.207495 ;-4.16585 ;-0.02720642 ;2.207495 ;0.04415047 ;0.08564907 ;0.01520652 ;-0.01374931 ;0.9961145 ;0.08564907 ;0.01520652 ;-0.01374931 ;0.9961145 ;
655.52 ;0 ; ;-0.02704287 ;2.207406 ;-4.166051 ;-0.02704287 ;2.207406 ;0.04394913 ;0.08740214 ;0.01629814 ;-0.01255029 ;0.9959607 ;0.08740214 ;0.01629814 ;-0.01255029 ;0.9959607 ;
655.54 ;0 ; ;-0.02699542 ;2.207405 ;-4.166035 ;-0.02699542 ;2.207405 ;0.04396522 ;0.08819822 ;0.01702895 ;-0.0123894 ;0.9958804 ;0.08819822 ;0.01702895 ;-0.0123894 ;0.9958804 ;
655.56 ;0 ; ;-0.02694607 ;2.207285 ;-4.166002 ;-0.02694607 ;2.207285 ;0.04399776 ;0.08910391 ;0.01744692 ;-0.01215714 ;0.9957954 ;0.08910391 ;0.01744692 ;-0.01215714 ;0.9957954 ;
655.58 ;0 ; ;-0.02697515 ;2.206963 ;-4.166128 ;-0.02697515 ;2.206963 ;0.043872 ;0.09124359 ;0.01770153 ;-0.01135176 ;0.9956066 ;0.09124359 ;0.01770153 ;-0.01135176 ;0.9956066 ;
655.6 ;0 ; ;-0.02697682 ;2.206885 ;-4.166144 ;-0.02697682 ;2.206885 ;0.04385614 ;0.09190383 ;0.01790079 ;-0.01116509 ;0.9955444 ;0.09190383 ;0.01790079 ;-0.01116509 ;0.9955444 ;
655.62 ;0 ; ;-0.02729487 ;2.20629 ;-4.166472 ;-0.02729487 ;2.20629 ;0.04352772 ;0.09711577 ;0.01673348 ;-0.01151918 ;0.9950657 ;0.09711577 ;0.01673348 ;-0.01151918 ;0.9950657 ;
655.64 ;0 ; ;-0.02750802 ;2.205685 ;-4.166788 ;-0.02750802 ;2.205685 ;0.04321182 ;0.1019527 ;0.01629618 ;-0.01178589 ;0.9945859 ;0.1019527 ;0.01629618 ;-0.01178589 ;0.9945859 ;
655.66 ;0 ; ;-0.02803683 ;2.203349 ;-4.167178 ;-0.02803683 ;2.203349 ;0.042822 ;0.1181501 ;0.01442523 ;-0.01090342 ;0.9928311 ;0.1181501 ;0.01442523 ;-0.01090342 ;0.9928311 ;
655.68 ;0 ; ;-0.02828932 ;2.201982 ;-4.167231 ;-0.02828932 ;2.201982 ;0.04276907 ;0.1269532 ;0.01353855 ;-0.01027239 ;0.9917632 ;0.1269532 ;0.01353855 ;-0.01027239 ;0.9917632 ;
655.7 ;0 ; ;-0.02870417 ;2.19952 ;-4.167276 ;-0.02870417 ;2.19952 ;0.04272366 ;0.1412517 ;0.01192613 ;-0.009349126 ;0.9898577 ;0.1412517 ;0.01192613 ;-0.009349126 ;0.9898577 ;
655.72 ;0 ; ;-0.02930427 ;2.196251 ;-4.167195 ;-0.02930427 ;2.196251 ;0.04280472 ;0.1574095 ;0.01038646 ;-0.008336235 ;0.9874436 ;0.1574095 ;0.01038646 ;-0.008336235 ;0.9874436 ;
655.74 ;0 ; ;-0.030267 ;2.189867 ;-4.167499 ;-0.030267 ;2.189867 ;0.04250133 ;0.1865389 ;0.004279866 ;-0.002505324 ;0.9824351 ;0.1865389 ;0.004279866 ;-0.002505324 ;0.9824351 ;
