LeftController ; 2024-10-10 15:52:22.092 ;
timestamp; status;interrupt;globalPosition; ; ;localPosition; ; ;globalRotation; ; ; ;localRotation; ; ; ;
msec; Game Status; code;x; y; z;x; y; z;x; y; z; w;x; y; z; w;
1445.157 ;0 ;5 ;-0.62 ;0 ;-4.21 ;-0.62 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
1444.86 ;0 ; ;-0.62 ;0 ;-4.21 ;-0.62 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
1444.88 ;0 ; ;-0.62 ;0 ;-4.21 ;-0.62 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
1444.9 ;0 ; ;-0.62 ;0 ;-4.21 ;-0.62 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
1444.92 ;0 ; ;-0.62 ;0 ;-4.21 ;-0.62 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
1444.94 ;0 ; ;-0.62 ;0 ;-4.21 ;-0.62 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
1444.96 ;0 ; ;-0.62 ;0 ;-4.21 ;-0.62 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
1444.98 ;0 ; ;-0.62 ;0 ;-4.21 ;-0.62 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
1445 ;0 ; ;-0.62 ;0 ;-4.21 ;-0.62 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
1445.02 ;0 ; ;-0.62 ;0 ;-4.21 ;-0.62 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
1445.04 ;0 ; ;-0.62 ;0 ;-4.21 ;-0.62 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
1445.06 ;0 ; ;-0.62 ;0 ;-4.21 ;-0.62 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
1445.08 ;0 ; ;-0.62 ;0 ;-4.21 ;-0.62 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
1445.1 ;0 ; ;-0.62 ;0 ;-4.21 ;-0.62 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
1445.12 ;0 ; ;-0.62 ;0 ;-4.21 ;-0.62 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
1445.14 ;0 ; ;-0.62 ;0 ;-4.21 ;-0.62 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
1445.16 ;0 ; ;-0.1357546 ;1.476014 ;-3.919485 ;-0.1357546 ;1.476014 ;0.2905148 ;0.04124663 ;-0.136252 ;0.09160595 ;0.9855671 ;0.04124663 ;-0.136252 ;0.09160595 ;0.9855671 ;
1445.18 ;0 ; ;-0.1075645 ;1.474215 ;-3.91713 ;-0.1075645 ;1.474215 ;0.29287 ;0.02429728 ;-0.09547067 ;0.03486121 ;0.9945248 ;0.02429728 ;-0.09547067 ;0.03486121 ;0.9945248 ;
1445.2 ;0 ; ;-0.1093067 ;1.474216 ;-3.917111 ;-0.1093067 ;1.474216 ;0.2928887 ;0.02541989 ;-0.09685612 ;0.04240764 ;0.9940696 ;0.02541989 ;-0.09685612 ;0.04240764 ;0.9940696 ;
1445.22 ;0 ; ;-0.1163976 ;1.472864 ;-3.917143 ;-0.1163976 ;1.472864 ;0.2928573 ;0.03277436 ;-0.1012984 ;0.06293594 ;0.9923223 ;0.03277436 ;-0.1012984 ;0.06293594 ;0.9923223 ;
1445.24 ;0 ; ;-0.1186493 ;1.470533 ;-3.916644 ;-0.1186493 ;1.470533 ;0.2933559 ;0.03857659 ;-0.1121158 ;0.05161376 ;0.9916037 ;0.03857659 ;-0.1121158 ;0.05161376 ;0.9916037 ;
1445.26 ;0 ; ;-0.1197089 ;1.470757 ;-3.917214 ;-0.1197089 ;1.470757 ;0.2927857 ;0.03498577 ;-0.1105227 ;0.05839509 ;0.9915396 ;0.03498577 ;-0.1105227 ;0.05839509 ;0.9915396 ;
1445.28 ;0 ; ;-0.1202431 ;1.470554 ;-3.917441 ;-0.1202431 ;1.470554 ;0.292559 ;0.03503083 ;-0.1090984 ;0.05933231 ;0.9916401 ;0.03503083 ;-0.1090984 ;0.05933231 ;0.9916401 ;
1445.3 ;0 ; ;-0.121002 ;1.470222 ;-3.917705 ;-0.121002 ;1.470222 ;0.2922952 ;0.03538933 ;-0.1089145 ;0.05960382 ;0.9916313 ;0.03538933 ;-0.1089145 ;0.05960382 ;0.9916313 ;
1445.32 ;0 ; ;-0.1215674 ;1.469171 ;-3.918349 ;-0.1215674 ;1.469171 ;0.2916512 ;0.03652307 ;-0.1119847 ;0.04990848 ;0.9917836 ;0.03652307 ;-0.1119847 ;0.04990848 ;0.9917836 ;
1445.34 ;0 ; ;-0.1211532 ;1.468096 ;-3.91876 ;-0.1211532 ;1.468096 ;0.2912403 ;0.03617914 ;-0.1144319 ;0.03904741 ;0.9920039 ;0.03617914 ;-0.1144319 ;0.03904741 ;0.9920039 ;
1445.36 ;0 ; ;-0.121946 ;1.467169 ;-3.919236 ;-0.121946 ;1.467169 ;0.2907639 ;0.03261974 ;-0.1205392 ;0.02740937 ;0.9917938 ;0.03261974 ;-0.1205392 ;0.02740937 ;0.9917938 ;
1445.38 ;0 ; ;-0.1216651 ;1.467849 ;-3.919733 ;-0.1216651 ;1.467849 ;0.2902673 ;0.02545094 ;-0.1187776 ;0.02641334 ;0.9922432 ;0.02545094 ;-0.1187776 ;0.02641334 ;0.9922432 ;
