RightController ; 2024-10-10 15:52:22.541 ;
timestamp; status;interrupt;globalPosition; ; ;localPosition; ; ;globalRotation; ; ; ;localRotation; ; ; ;
msec; Game Status; code;x; y; z;x; y; z;x; y; z; w;x; y; z; w;
1445.157 ;0 ;5 ;0.62 ;0 ;-4.21 ;0.62 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
1444.86 ;0 ; ;0.62 ;0 ;-4.21 ;0.62 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
1444.88 ;0 ; ;0.62 ;0 ;-4.21 ;0.62 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
1444.9 ;0 ; ;0.62 ;0 ;-4.21 ;0.62 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
1444.92 ;0 ; ;0.62 ;0 ;-4.21 ;0.62 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
1444.94 ;0 ; ;0.62 ;0 ;-4.21 ;0.62 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
1444.96 ;0 ; ;0.62 ;0 ;-4.21 ;0.62 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
1444.98 ;0 ; ;0.62 ;0 ;-4.21 ;0.62 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
1445 ;0 ; ;0.62 ;0 ;-4.21 ;0.62 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
1445.02 ;0 ; ;0.62 ;0 ;-4.21 ;0.62 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
1445.04 ;0 ; ;0.62 ;0 ;-4.21 ;0.62 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
1445.06 ;0 ; ;0.62 ;0 ;-4.21 ;0.62 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
1445.08 ;0 ; ;0.62 ;0 ;-4.21 ;0.62 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
1445.1 ;0 ; ;0.62 ;0 ;-4.21 ;0.62 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
1445.12 ;0 ; ;0.62 ;0 ;-4.21 ;0.62 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
1445.14 ;0 ; ;0.62 ;0 ;-4.21 ;0.62 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
1445.16 ;0 ; ;0.2165739 ;1.524606 ;-3.930674 ;0.2165739 ;1.524606 ;0.2793262 ;-0.02729887 ;0.1145617 ;-0.1828351 ;0.9760644 ;-0.02729887 ;0.1145617 ;-0.1828351 ;0.9760644 ;
1445.18 ;0 ; ;0.2005532 ;1.491755 ;-3.928723 ;0.2005532 ;1.491755 ;0.2812772 ;0.03213993 ;0.1018672 ;-0.1285684 ;0.9859312 ;0.03213993 ;0.1018672 ;-0.1285684 ;0.9859312 ;
1445.2 ;0 ; ;0.1996245 ;1.491871 ;-3.928528 ;0.1996245 ;1.491871 ;0.2814723 ;0.03066113 ;0.1016216 ;-0.1234524 ;0.9866573 ;0.03066113 ;0.1016216 ;-0.1234524 ;0.9866573 ;
1445.22 ;0 ; ;0.1943077 ;1.491812 ;-3.927579 ;0.1943077 ;1.491812 ;0.2824208 ;0.0262187 ;0.0981724 ;-0.09832941 ;0.9899526 ;0.0262187 ;0.0981724 ;-0.09832941 ;0.9899526 ;
1445.24 ;0 ; ;0.1890403 ;1.492103 ;-3.927741 ;0.1890403 ;1.492103 ;0.2822587 ;0.02486922 ;0.088252 ;-0.09496679 ;0.991249 ;0.02486922 ;0.088252 ;-0.09496679 ;0.991249 ;
1445.26 ;0 ; ;0.1861141 ;1.495448 ;-3.928258 ;0.1861141 ;1.495448 ;0.281742 ;0.0119658 ;0.08907343 ;-0.08273343 ;0.9925109 ;0.0119658 ;0.08907343 ;-0.08273343 ;0.9925109 ;
1445.28 ;0 ; ;0.1849823 ;1.497411 ;-3.928462 ;0.1849823 ;1.497411 ;0.2815383 ;0.001876969 ;0.09297127 ;-0.06831135 ;0.9933209 ;0.001876969 ;0.09297127 ;-0.06831135 ;0.9933209 ;
1445.3 ;0 ; ;0.1836811 ;1.498898 ;-3.928695 ;0.1836811 ;1.498898 ;0.281305 ;-0.006634828 ;0.09501099 ;-0.05617554 ;0.9938678 ;-0.006634828 ;0.09501099 ;-0.05617554 ;0.9938678 ;
1445.32 ;0 ; ;0.1803998 ;1.50275 ;-3.929503 ;0.1803998 ;1.50275 ;0.2804971 ;-0.02873587 ;0.1056546 ;-0.00897432 ;0.9939471 ;-0.02873587 ;0.1056546 ;-0.00897432 ;0.9939471 ;
1445.34 ;0 ; ;0.1790859 ;1.504226 ;-3.930097 ;0.1790859 ;1.504226 ;0.2799031 ;-0.03380283 ;0.1093405 ;-0.002397422 ;0.9934266 ;-0.03380283 ;0.1093405 ;-0.002397422 ;0.9934266 ;
1445.36 ;0 ; ;0.1785795 ;1.510916 ;-3.932341 ;0.1785795 ;1.510916 ;0.2776593 ;-0.0608989 ;0.117264 ;0.002918378 ;0.9912275 ;-0.0608989 ;0.117264 ;0.002918378 ;0.9912275 ;
1445.38 ;0 ; ;0.1797973 ;1.511807 ;-3.932131 ;0.1797973 ;1.511807 ;0.2778687 ;-0.05475271 ;0.114959 ;-0.01593652 ;0.9917321 ;-0.05475271 ;0.114959 ;-0.01593652 ;0.9917321 ;
