HMD ; 2024-10-10 15:36:48.821 ;
timestamp; status;interrupt;globalPosition; ; ;localPosition; ; ;globalRotation; ; ; ;localRotation; ; ; ;
msec; Game Status; code;x; y; z;x; y; z;x; y; z; w;x; y; z; w;
512.7188 ;0 ;5 ;0 ;0 ;-4.21 ;0 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
512.42 ;0 ; ;0 ;0 ;-4.21 ;0 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
512.44 ;0 ; ;0 ;0 ;-4.21 ;0 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
512.46 ;0 ; ;0 ;0 ;-4.21 ;0 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
512.48 ;0 ; ;0 ;0 ;-4.21 ;0 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
512.5 ;0 ; ;0 ;0 ;-4.21 ;0 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
512.52 ;0 ; ;0 ;0 ;-4.21 ;0 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
512.54 ;0 ; ;0 ;0 ;-4.21 ;0 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
512.56 ;0 ; ;0 ;0 ;-4.21 ;0 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
512.58 ;0 ; ;0 ;0 ;-4.21 ;0 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
512.6 ;0 ; ;0 ;0 ;-4.21 ;0 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
512.62 ;0 ; ;0 ;0 ;-4.21 ;0 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
512.64 ;0 ; ;0 ;0 ;-4.21 ;0 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
512.66 ;0 ; ;0 ;0 ;-4.21 ;0 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
512.68 ;0 ; ;0 ;0 ;-4.21 ;0 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
512.7 ;0 ; ;0 ;0 ;-4.21 ;0 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
512.72 ;0 ; ;0.03097959 ;1.999775 ;-4.031516 ;0.03097959 ;1.999775 ;0.1784839 ;0.2441827 ;-0.0196612 ;-0.02470082 ;0.9692152 ;0.2441827 ;-0.0196612 ;-0.02470082 ;0.9692152 ;
512.74 ;0 ; ;0.03097142 ;1.99963 ;-4.031269 ;0.03097142 ;1.99963 ;0.1787308 ;0.2438494 ;-0.01957057 ;-0.02470379 ;0.9693009 ;0.2438494 ;-0.01957057 ;-0.02470379 ;0.9693009 ;
512.76 ;0 ; ;0.03077565 ;2.004455 ;-4.039967 ;0.03077565 ;2.004455 ;0.1700334 ;0.2363622 ;-0.01887807 ;-0.02469715 ;0.9711676 ;0.2363622 ;-0.01887807 ;-0.02469715 ;0.9711676 ;
512.78 ;0 ; ;0.03035197 ;2.012441 ;-4.056992 ;0.03035197 ;2.012441 ;0.153008 ;0.2244914 ;-0.01770566 ;-0.02364669 ;0.9740282 ;0.2244914 ;-0.01770566 ;-0.02364669 ;0.9740282 ;
512.8 ;0 ; ;0.0297852 ;2.014669 ;-4.064469 ;0.0297852 ;2.014669 ;0.1455308 ;0.2269089 ;-0.01622214 ;-0.02385869 ;0.9734886 ;0.2269089 ;-0.01622214 ;-0.02385869 ;0.9734886 ;
512.82 ;0 ; ;0.02893845 ;2.023172 ;-4.079977 ;0.02893845 ;2.023172 ;0.1300236 ;0.2127089 ;-0.01372768 ;-0.02550432 ;0.9766862 ;0.2127089 ;-0.01372768 ;-0.02550432 ;0.9766862 ;
512.84 ;0 ; ;0.02855981 ;2.027604 ;-4.088401 ;0.02855981 ;2.027604 ;0.1215993 ;0.207012 ;-0.01289055 ;-0.0255824 ;0.9779189 ;0.207012 ;-0.01289055 ;-0.0255824 ;0.9779189 ;
512.86 ;0 ; ;0.02816631 ;2.031997 ;-4.096784 ;0.02816631 ;2.031997 ;0.1132166 ;0.201318 ;-0.01210121 ;-0.02579616 ;0.9791114 ;0.201318 ;-0.01210121 ;-0.02579616 ;0.9791114 ;
512.88 ;0 ; ;0.02634142 ;2.037513 ;-4.110519 ;0.02634142 ;2.037513 ;0.0994812 ;0.1936011 ;-0.01483996 ;-0.02237545 ;0.9807129 ;0.1936011 ;-0.01483996 ;-0.02237545 ;0.9807129 ;
512.9 ;0 ; ;0.02548248 ;2.040935 ;-4.117348 ;0.02548248 ;2.040935 ;0.09265174 ;0.1862838 ;-0.01547671 ;-0.02159851 ;0.9821366 ;0.1862838 ;-0.01547671 ;-0.02159851 ;0.9821366 ;
512.92 ;0 ; ;0.02361413 ;2.04759 ;-4.1309 ;0.02361413 ;2.04759 ;0.07910008 ;0.1725008 ;-0.01498522 ;-0.02320335 ;0.984622 ;0.1725008 ;-0.01498522 ;-0.02320335 ;0.984622 ;
512.94 ;0 ; ;0.02277316 ;2.050855 ;-4.138083 ;0.02277316 ;2.050855 ;0.07191712 ;0.1671393 ;-0.01484358 ;-0.02326659 ;0.9855469 ;0.1671393 ;-0.01484358 ;-0.02326659 ;0.9855469 ;
512.96 ;0 ; ;0.02127858 ;2.057843 ;-4.152879 ;0.02127858 ;2.057843 ;0.05712087 ;0.1556385 ;-0.01466369 ;-0.02320092 ;0.9874327 ;0.1556385 ;-0.01466369 ;-0.02320092 ;0.9874327 ;
512.98 ;0 ; ;0.01971339 ;2.05846 ;-4.157946 ;0.01971339 ;2.05846 ;0.05205414 ;0.1556078 ;-0.01443574 ;-0.02147977 ;0.9874799 ;0.1556078 ;-0.01443574 ;-0.02147977 ;0.9874799 ;
