LeftController ; 2024-10-10 15:36:48.829 ;
timestamp; status;interrupt;globalPosition; ; ;localPosition; ; ;globalRotation; ; ; ;localRotation; ; ; ;
msec; Game Status; code;x; y; z;x; y; z;x; y; z; w;x; y; z; w;
512.7188 ;0 ;5 ;-0.62 ;0 ;-4.21 ;-0.62 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
512.42 ;0 ; ;-0.62 ;0 ;-4.21 ;-0.62 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
512.44 ;0 ; ;-0.62 ;0 ;-4.21 ;-0.62 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
512.46 ;0 ; ;-0.62 ;0 ;-4.21 ;-0.62 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
512.48 ;0 ; ;-0.62 ;0 ;-4.21 ;-0.62 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
512.5 ;0 ; ;-0.62 ;0 ;-4.21 ;-0.62 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
512.52 ;0 ; ;-0.62 ;0 ;-4.21 ;-0.62 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
512.54 ;0 ; ;-0.62 ;0 ;-4.21 ;-0.62 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
512.56 ;0 ; ;-0.62 ;0 ;-4.21 ;-0.62 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
512.58 ;0 ; ;-0.62 ;0 ;-4.21 ;-0.62 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
512.6 ;0 ; ;-0.62 ;0 ;-4.21 ;-0.62 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
512.62 ;0 ; ;-0.62 ;0 ;-4.21 ;-0.62 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
512.64 ;0 ; ;-0.62 ;0 ;-4.21 ;-0.62 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
512.66 ;0 ; ;-0.62 ;0 ;-4.21 ;-0.62 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
512.68 ;0 ; ;-0.62 ;0 ;-4.21 ;-0.62 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
512.7 ;0 ; ;-0.62 ;0 ;-4.21 ;-0.62 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
512.72 ;0 ; ;-0.3050449 ;1.336557 ;-4.129539 ;-0.3050449 ;1.336557 ;0.08046162 ;0.4166579 ;-0.3815339 ;0.08106565 ;0.8211312 ;0.4166579 ;-0.3815339 ;0.08106565 ;0.8211312 ;
512.74 ;0 ; ;-0.3126564 ;1.436313 ;-4.121573 ;-0.3126564 ;1.436313 ;0.08842667 ;0.1902915 ;-0.3805329 ;0.1658066 ;0.8896585 ;0.1902915 ;-0.3805329 ;0.1658066 ;0.8896585 ;
512.76 ;0 ; ;-0.311828 ;1.432019 ;-4.120667 ;-0.311828 ;1.432019 ;0.08933359 ;0.1985359 ;-0.3799591 ;0.1592305 ;0.8893032 ;0.1985359 ;-0.3799591 ;0.1592305 ;0.8893032 ;
512.78 ;0 ; ;-0.3148693 ;1.440836 ;-4.123015 ;-0.3148693 ;1.440836 ;0.08698476 ;0.1871681 ;-0.3879864 ;0.1993647 ;0.8801638 ;0.1871681 ;-0.3879864 ;0.1993647 ;0.8801638 ;
512.8 ;0 ; ;-0.3174586 ;1.451678 ;-4.125503 ;-0.3174586 ;1.451678 ;0.08449707 ;0.1681771 ;-0.3911489 ;0.2252209 ;0.876353 ;0.1681771 ;-0.3911489 ;0.2252209 ;0.876353 ;
512.82 ;0 ; ;-0.3089863 ;1.459874 ;-4.122447 ;-0.3089863 ;1.459874 ;0.08755347 ;0.1597949 ;-0.3585728 ;0.1853343 ;0.9008564 ;0.1597949 ;-0.3585728 ;0.1853343 ;0.9008564 ;
