PlayerOrientation; 2024-10-10 15:36:48.830 ;
timestamp; status;interrupt;globalPosition; ; ;localPosition; ; ;globalRotation; ; ; ;localRotation; ; ; ;
msec; Game Status; code;x; y; z;x; y; z;x; y; z; w;x; y; z; w;
512.7188 ;0 ;5 ;0 ;0 ;-4.21 ;0 ;0 ;-4.21 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
512.42 ;0 ; ;0 ;0 ;-4.21 ;0 ;0 ;-4.21 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
512.44 ;0 ; ;0 ;0 ;-4.21 ;0 ;0 ;-4.21 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
512.46 ;0 ; ;0 ;0 ;-4.21 ;0 ;0 ;-4.21 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
512.48 ;0 ; ;0 ;0 ;-4.21 ;0 ;0 ;-4.21 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
512.5 ;0 ; ;0 ;0 ;-4.21 ;0 ;0 ;-4.21 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
512.52 ;0 ; ;0 ;0 ;-4.21 ;0 ;0 ;-4.21 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
512.54 ;0 ; ;0 ;0 ;-4.21 ;0 ;0 ;-4.21 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
512.56 ;0 ; ;0 ;0 ;-4.21 ;0 ;0 ;-4.21 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
512.58 ;0 ; ;0 ;0 ;-4.21 ;0 ;0 ;-4.21 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
512.6 ;0 ; ;0 ;0 ;-4.21 ;0 ;0 ;-4.21 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
512.62 ;0 ; ;0 ;0 ;-4.21 ;0 ;0 ;-4.21 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
512.64 ;0 ; ;0 ;0 ;-4.21 ;0 ;0 ;-4.21 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
512.66 ;0 ; ;0 ;0 ;-4.21 ;0 ;0 ;-4.21 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
512.68 ;0 ; ;0 ;0 ;-4.21 ;0 ;0 ;-4.21 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
512.7 ;0 ; ;0 ;0 ;-4.21 ;0 ;0 ;-4.21 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
512.72 ;0 ; ;0 ;0 ;-4.21 ;0 ;0 ;-4.21 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
512.74 ;0 ; ;0 ;0 ;-4.21 ;0 ;0 ;-4.21 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
512.76 ;0 ; ;0 ;0 ;-4.21 ;0 ;0 ;-4.21 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
512.78 ;0 ; ;0 ;0 ;-4.21 ;0 ;0 ;-4.21 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
512.8 ;0 ; ;0 ;0 ;-4.21 ;0 ;0 ;-4.21 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
512.82 ;0 ; ;0 ;0 ;-4.21 ;0 ;0 ;-4.21 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
512.84 ;0 ; ;0 ;0 ;-4.21 ;0 ;0 ;-4.21 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
512.86 ;0 ; ;0 ;0 ;-4.21 ;0 ;0 ;-4.21 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
512.88 ;0 ; ;0 ;0 ;-4.21 ;0 ;0 ;-4.21 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
512.9 ;0 ; ;0 ;0 ;-4.21 ;0 ;0 ;-4.21 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
512.92 ;0 ; ;0 ;0 ;-4.21 ;0 ;0 ;-4.21 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
512.94 ;0 ; ;0 ;0 ;-4.21 ;0 ;0 ;-4.21 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
512.96 ;0 ; ;0 ;0 ;-4.21 ;0 ;0 ;-4.21 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
512.98 ;0 ; ;0 ;0 ;-4.21 ;0 ;0 ;-4.21 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
513 ;0 ; ;0 ;0 ;-4.21 ;0 ;0 ;-4.21 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
513.02 ;0 ; ;0 ;0 ;-4.21 ;0 ;0 ;-4.21 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
513.04 ;0 ; ;0 ;0 ;-4.21 ;0 ;0 ;-4.21 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
513.06 ;0 ; ;0 ;0 ;-4.21 ;0 ;0 ;-4.21 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
513.08 ;0 ; ;0 ;0 ;-4.21 ;0 ;0 ;-4.21 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
513.1 ;0 ; ;0 ;0 ;-4.21 ;0 ;0 ;-4.21 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
513.12 ;0 ; ;0 ;0 ;-4.21 ;0 ;0 ;-4.21 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
513.14 ;0 ; ;0 ;0 ;-4.21 ;0 ;0 ;-4.21 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
513.16 ;0 ; ;0 ;0 ;-4.21 ;0 ;0 ;-4.21 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
513.18 ;0 ; ;0 ;0 ;-4.21 ;0 ;0 ;-4.21 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
513.2 ;0 ; ;0 ;0 ;-4.21 ;0 ;0 ;-4.21 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
513.22 ;0 ; ;0 ;0 ;-4.21 ;0 ;0 ;-4.21 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
513.24 ;0 ; ;0 ;0 ;-4.21 ;0 ;0 ;-4.21 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
513.26 ;0 ; ;0 ;0 ;-4.21 ;0 ;0 ;-4.21 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
513.28 ;0 ; ;0 ;0 ;-4.21 ;0 ;0 ;-4.21 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
513.3 ;0 ; ;0 ;0 ;-4.21 ;0 ;0 ;-4.21 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
513.32 ;0 ; ;0 ;0 ;-4.21 ;0 ;0 ;-4.21 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
513.34 ;0 ; ;0 ;0 ;-4.21 ;0 ;0 ;-4.21 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
513.36 ;0 ; ;0 ;0 ;-4.21 ;0 ;0 ;-4.21 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
513.38 ;0 ; ;0 ;0 ;-4.21 ;0 ;0 ;-4.21 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
513.4 ;0 ; ;0 ;0 ;-4.21 ;0 ;0 ;-4.21 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
