RightController ; 2024-10-10 15:36:48.829 ;
timestamp; status;interrupt;globalPosition; ; ;localPosition; ; ;globalRotation; ; ; ;localRotation; ; ; ;
msec; Game Status; code;x; y; z;x; y; z;x; y; z; w;x; y; z; w;
512.7188 ;0 ;5 ;0.62 ;0 ;-4.21 ;0.62 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
512.42 ;0 ; ;0.62 ;0 ;-4.21 ;0.62 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
512.44 ;0 ; ;0.62 ;0 ;-4.21 ;0.62 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
512.46 ;0 ; ;0.62 ;0 ;-4.21 ;0.62 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
512.48 ;0 ; ;0.62 ;0 ;-4.21 ;0.62 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
512.5 ;0 ; ;0.62 ;0 ;-4.21 ;0.62 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
512.52 ;0 ; ;0.62 ;0 ;-4.21 ;0.62 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
512.54 ;0 ; ;0.62 ;0 ;-4.21 ;0.62 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
512.56 ;0 ; ;0.62 ;0 ;-4.21 ;0.62 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
512.58 ;0 ; ;0.62 ;0 ;-4.21 ;0.62 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
512.6 ;0 ; ;0.62 ;0 ;-4.21 ;0.62 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
512.62 ;0 ; ;0.62 ;0 ;-4.21 ;0.62 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
512.64 ;0 ; ;0.62 ;0 ;-4.21 ;0.62 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
512.66 ;0 ; ;0.62 ;0 ;-4.21 ;0.62 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
512.68 ;0 ; ;0.62 ;0 ;-4.21 ;0.62 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
512.7 ;0 ; ;0.62 ;0 ;-4.21 ;0.62 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
512.72 ;0 ; ;0.2969546 ;1.333206 ;-4.197758 ;0.2969546 ;1.333206 ;0.01224201 ;0.5433772 ;0.3373084 ;-0.1396003 ;0.7559604 ;0.5433772 ;0.3373084 ;-0.1396003 ;0.7559604 ;
512.74 ;0 ; ;0.3162412 ;1.332382 ;-4.209091 ;0.3162412 ;1.332382 ;0.0009091781 ;0.4475336 ;0.3736453 ;-0.2934141 ;0.7576352 ;0.4475336 ;0.3736453 ;-0.2934141 ;0.7576352 ;
512.76 ;0 ; ;0.3153403 ;1.33319 ;-4.208109 ;0.3153403 ;1.33319 ;0.001890734 ;0.4492412 ;0.372029 ;-0.2886986 ;0.7592298 ;0.4492412 ;0.372029 ;-0.2886986 ;0.7592298 ;
512.78 ;0 ; ;0.3205386 ;1.333971 ;-4.209749 ;0.3205386 ;1.333971 ;0.0002514089 ;0.4272556 ;0.3835938 ;-0.3094746 ;0.7579802 ;0.4272556 ;0.3835938 ;-0.3094746 ;0.7579802 ;
512.8 ;0 ; ;0.3241188 ;1.332875 ;-4.212105 ;0.3241188 ;1.332875 ;-0.002105266 ;0.4156869 ;0.3905572 ;-0.3251195 ;0.7542989 ;0.4156869 ;0.3905572 ;-0.3251195 ;0.7542989 ;
512.82 ;0 ; ;0.3300838 ;1.336519 ;-4.210431 ;0.3300838 ;1.336519 ;-0.0004306434 ;0.4043384 ;0.3958292 ;-0.2708518 ;0.7787612 ;0.4043384 ;0.3958292 ;-0.2708518 ;0.7787612 ;
512.84 ;0 ; ;0.3338097 ;1.33803 ;-4.209005 ;0.3338097 ;1.33803 ;0.0009946579 ;0.3933234 ;0.3947145 ;-0.2707076 ;0.7849934 ;0.3933234 ;0.3947145 ;-0.2707076 ;0.7849934 ;
