HMD ; 2024-10-10 15:31:07.597 ;
timestamp; status;interrupt;globalPosition; ; ;localPosition; ; ;globalRotation; ; ; ;localRotation; ; ; ;
msec; Game Status; code;x; y; z;x; y; z;x; y; z; w;x; y; z; w;
172.1301 ;0 ;5 ;0 ;0 ;-4.21 ;0 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
171.82 ;0 ; ;0 ;0 ;-4.21 ;0 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
171.84 ;0 ; ;0 ;0 ;-4.21 ;0 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
171.86 ;0 ; ;0 ;0 ;-4.21 ;0 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
171.88 ;0 ; ;0 ;0 ;-4.21 ;0 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
171.9 ;0 ; ;0 ;0 ;-4.21 ;0 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
171.92 ;0 ; ;0 ;0 ;-4.21 ;0 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
171.94 ;0 ; ;0 ;0 ;-4.21 ;0 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
171.96 ;0 ; ;0 ;0 ;-4.21 ;0 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
171.98 ;0 ; ;0 ;0 ;-4.21 ;0 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
172 ;0 ; ;0 ;0 ;-4.21 ;0 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
172.02 ;0 ; ;0 ;0 ;-4.21 ;0 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
172.04 ;0 ; ;0 ;0 ;-4.21 ;0 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
172.06 ;0 ; ;0 ;0 ;-4.21 ;0 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
172.08 ;0 ; ;0 ;0 ;-4.21 ;0 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
172.1 ;0 ; ;0 ;0 ;-4.21 ;0 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
172.12 ;0 ; ;0 ;0 ;-4.21 ;0 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
172.14 ;0 ; ;0.004463314 ;2.013964 ;-4.039792 ;0.004463314 ;2.013964 ;0.170208 ;0.1906732 ;0.03787595 ;-0.02215 ;0.9806725 ;0.1906732 ;0.03787595 ;-0.02215 ;0.9806725 ;
172.16 ;0 ; ;0.0009154504 ;2.018964 ;-4.050865 ;0.0009154504 ;2.018964 ;0.1591349 ;0.1875157 ;0.03642442 ;-0.02233247 ;0.9813319 ;0.1875157 ;0.03642442 ;-0.02233247 ;0.9813319 ;
172.18 ;0 ; ;-0.002645195 ;2.023623 ;-4.060715 ;-0.002645195 ;2.023623 ;0.149285 ;0.1816832 ;0.03585422 ;-0.02302791 ;0.9824334 ;0.1816832 ;0.03585422 ;-0.02302791 ;0.9824334 ;
172.2 ;0 ; ;-0.004335844 ;2.025775 ;-4.065353 ;-0.004335844 ;2.025775 ;0.1446464 ;0.1789818 ;0.03498256 ;-0.02251633 ;0.9829724 ;0.1789818 ;0.03498256 ;-0.02251633 ;0.9829724 ;
172.22 ;0 ; ;-0.007678976 ;2.029462 ;-4.074134 ;-0.007678976 ;2.029462 ;0.135866 ;0.1746319 ;0.03256918 ;-0.02055872 ;0.9838802 ;0.1746319 ;0.03256918 ;-0.02055872 ;0.9838802 ;
172.24 ;0 ; ;-0.009366561 ;2.031962 ;-4.079323 ;-0.009366561 ;2.031962 ;0.1306768 ;0.1713843 ;0.0316048 ;-0.01993209 ;0.9844955 ;0.1713843 ;0.0316048 ;-0.01993209 ;0.9844955 ;
172.26 ;0 ; ;-0.01270424 ;2.034234 ;-4.086535 ;-0.01270424 ;2.034234 ;0.1234649 ;0.1682575 ;0.02974789 ;-0.01937296 ;0.9851037 ;0.1682575 ;0.02974789 ;-0.01937296 ;0.9851037 ;
172.28 ;0 ; ;-0.01436865 ;2.035269 ;-4.090044 ;-0.01436865 ;2.035269 ;0.1199559 ;0.1674696 ;0.02916621 ;-0.01989866 ;0.9852448 ;0.1674696 ;0.02916621 ;-0.01989866 ;0.9852448 ;
172.3 ;0 ; ;-0.01602088 ;2.036386 ;-4.09356 ;-0.01602088 ;2.036386 ;0.1164396 ;0.1664464 ;0.02836845 ;-0.01974307 ;0.9854446 ;0.1664464 ;0.02836845 ;-0.01974307 ;0.9854446 ;
172.32 ;0 ; ;-0.01919136 ;2.038718 ;-4.100289 ;-0.01919136 ;2.038718 ;0.1097106 ;0.1622505 ;0.02626356 ;-0.01912237 ;0.9862147 ;0.1622505 ;0.02626356 ;-0.01912237 ;0.9862147 ;
172.34 ;0 ; ;-0.02077821 ;2.040071 ;-4.103822 ;-0.02077821 ;2.040071 ;0.1061785 ;0.1596122 ;0.02523174 ;-0.01867298 ;0.9866806 ;0.1596122 ;0.02523174 ;-0.01867298 ;0.9866806 ;
172.36 ;0 ; ;-0.02399664 ;2.043051 ;-4.11139 ;-0.02399664 ;2.043051 ;0.09861009 ;0.1549561 ;0.02330914 ;-0.01795461 ;0.9874831 ;0.1549561 ;0.02330914 ;-0.01795461 ;0.9874831 ;
172.38 ;0 ; ;-0.02479752 ;2.042749 ;-4.111116 ;-0.02479752 ;2.042749 ;0.09888352 ;0.1556915 ;0.02325294 ;-0.01918792 ;0.9873456 ;0.1556915 ;0.02325294 ;-0.01918792 ;0.9873456 ;
172.4 ;0 ; ;-0.02708963 ;2.044107 ;-4.115019 ;-0.02708963 ;2.044107 ;0.0949814 ;0.151968 ;0.02464932 ;-0.0224983 ;0.9878218 ;0.151968 ;0.02464932 ;-0.0224983 ;0.9878218 ;
172.42 ;0 ; ;-0.02822002 ;2.044756 ;-4.116736 ;-0.02822002 ;2.044756 ;0.09326357 ;0.1498664 ;0.02530248 ;-0.02379728 ;0.9880959 ;0.1498664 ;0.02530248 ;-0.02379728 ;0.9880959 ;
172.44 ;0 ; ;-0.03066274 ;2.046236 ;-4.120898 ;-0.03066274 ;2.046236 ;0.08910184 ;0.1462918 ;0.02555477 ;-0.025108 ;0.9885926 ;0.1462918 ;0.02555477 ;-0.025108 ;0.9885926 ;
