HMD ; 2024-10-10 15:22:43.424 ;
timestamp; status;interrupt;globalPosition; ; ;localPosition; ; ;globalRotation; ; ; ;localRotation; ; ; ;
msec; Game Status; code;x; y; z;x; y; z;x; y; z; w;x; y; z; w;
47.23336 ;0 ;5 ;0 ;0 ;-4.21 ;0 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
46.92 ;0 ; ;0 ;0 ;-4.21 ;0 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
46.94 ;0 ; ;0 ;0 ;-4.21 ;0 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
46.96 ;0 ; ;0 ;0 ;-4.21 ;0 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
46.98 ;0 ; ;0 ;0 ;-4.21 ;0 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
47 ;0 ; ;0 ;0 ;-4.21 ;0 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
47.02 ;0 ; ;0 ;0 ;-4.21 ;0 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
47.04 ;0 ; ;0 ;0 ;-4.21 ;0 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
47.06 ;0 ; ;0 ;0 ;-4.21 ;0 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
47.08 ;0 ; ;0 ;0 ;-4.21 ;0 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
47.1 ;0 ; ;0 ;0 ;-4.21 ;0 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
47.12 ;0 ; ;0 ;0 ;-4.21 ;0 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
47.14 ;0 ; ;0 ;0 ;-4.21 ;0 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
47.16 ;0 ; ;0 ;0 ;-4.21 ;0 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
47.18 ;0 ; ;0 ;0 ;-4.21 ;0 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
47.2 ;0 ; ;0 ;0 ;-4.21 ;0 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
47.22 ;0 ; ;0 ;0 ;-4.21 ;0 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
47.24 ;0 ; ;0.0360974 ;2.490923 ;-3.711482 ;0.0360974 ;2.490923 ;0.498518 ;0.1568273 ;0.003121324 ;-0.04285197 ;0.9866911 ;0.1568273 ;0.003121324 ;-0.04285197 ;0.9866911 ;
47.26 ;0 ; ;0.03635504 ;2.49114 ;-3.711824 ;0.03635504 ;2.49114 ;0.4981762 ;0.1565566 ;0.004015591 ;-0.04263893 ;0.98674 ;0.1565566 ;0.004015591 ;-0.04263893 ;0.98674 ;
47.28 ;0 ; ;0.03663453 ;2.491302 ;-3.7123 ;0.03663453 ;2.491302 ;0.4977 ;0.1558077 ;0.005624059 ;-0.04136907 ;0.9869047 ;0.1558077 ;0.005624059 ;-0.04136907 ;0.9869047 ;
47.3 ;0 ; ;0.03683797 ;2.491339 ;-3.712448 ;0.03683797 ;2.491339 ;0.4975522 ;0.1553336 ;0.006402379 ;-0.04079591 ;0.9869986 ;0.1553336 ;0.006402379 ;-0.04079591 ;0.9869986 ;
47.32 ;0 ; ;0.03718879 ;2.491441 ;-3.712796 ;0.03718879 ;2.491441 ;0.497204 ;0.154472 ;0.008060765 ;-0.04007058 ;0.9871514 ;0.154472 ;0.008060765 ;-0.04007058 ;0.9871514 ;
47.34 ;0 ; ;0.03729752 ;2.491508 ;-3.713004 ;0.03729752 ;2.491508 ;0.4969958 ;0.153879 ;0.008924749 ;-0.03957281 ;0.9872566 ;0.153879 ;0.008924749 ;-0.03957281 ;0.9872566 ;
47.36 ;0 ; ;0.03633751 ;2.491843 ;-3.714158 ;0.03633751 ;2.491843 ;0.4958423 ;0.1523482 ;0.008868818 ;-0.03908449 ;0.987514 ;0.1523482 ;0.008868818 ;-0.03908449 ;0.987514 ;
47.38 ;0 ; ;0.0361719 ;2.49213 ;-3.714374 ;0.0361719 ;2.49213 ;0.4956261 ;0.1508792 ;0.009051557 ;-0.03880297 ;0.9877489 ;0.1508792 ;0.009051557 ;-0.03880297 ;0.9877489 ;
47.4 ;0 ; ;0.03597689 ;2.492624 ;-3.71487 ;0.03597689 ;2.492624 ;0.4951302 ;0.1485235 ;0.009792842 ;-0.03826648 ;0.9881197 ;0.1485235 ;0.009792842 ;-0.03826648 ;0.9881197 ;
47.42 ;0 ; ;0.03594832 ;2.492773 ;-3.71509 ;0.03594832 ;2.492773 ;0.49491 ;0.1476724 ;0.01029876 ;-0.03795919 ;0.988254 ;0.1476724 ;0.01029876 ;-0.03795919 ;0.988254 ;
47.44 ;0 ; ;0.0351903 ;2.493484 ;-3.715867 ;0.0351903 ;2.493484 ;0.4941329 ;0.145659 ;0.01024037 ;-0.03739157 ;0.988575 ;0.145659 ;0.01024037 ;-0.03739157 ;0.988575 ;
47.46 ;0 ; ;0.03488264 ;2.493863 ;-3.716077 ;0.03488264 ;2.493863 ;0.4939229 ;0.1440759 ;0.0101977 ;-0.03723155 ;0.9888134 ;0.1440759 ;0.0101977 ;-0.03723155 ;0.9888134 ;
47.48 ;0 ; ;0.03457732 ;2.494276 ;-3.716254 ;0.03457732 ;2.494276 ;0.493746 ;0.1427357 ;0.01040533 ;-0.03691315 ;0.9890175 ;0.1427357 ;0.01040533 ;-0.03691315 ;0.9890175 ;
47.5 ;0 ; ;0.03396701 ;2.494921 ;-3.716685 ;0.03396701 ;2.494921 ;0.4933153 ;0.140594 ;0.01047174 ;-0.03652177 ;0.9893381 ;0.140594 ;0.01047174 ;-0.03652177 ;0.9893381 ;
47.52 ;0 ; ;0.03373785 ;2.49517 ;-3.716927 ;0.03373785 ;2.49517 ;0.493073 ;0.1395794 ;0.01064766 ;-0.03627432 ;0.989489 ;0.1395794 ;0.01064766 ;-0.03627432 ;0.989489 ;
