RightController ; 2024-10-10 15:22:43.425 ;
timestamp; status;interrupt;globalPosition; ; ;localPosition; ; ;globalRotation; ; ; ;localRotation; ; ; ;
msec; Game Status; code;x; y; z;x; y; z;x; y; z; w;x; y; z; w;
47.23336 ;0 ;5 ;0.62 ;0 ;-4.21 ;0.62 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
46.92 ;0 ; ;0.62 ;0 ;-4.21 ;0.62 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
46.94 ;0 ; ;0.62 ;0 ;-4.21 ;0.62 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
46.96 ;0 ; ;0.62 ;0 ;-4.21 ;0.62 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
46.98 ;0 ; ;0.62 ;0 ;-4.21 ;0.62 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
47 ;0 ; ;0.62 ;0 ;-4.21 ;0.62 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
47.02 ;0 ; ;0.62 ;0 ;-4.21 ;0.62 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
47.04 ;0 ; ;0.62 ;0 ;-4.21 ;0.62 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
47.06 ;0 ; ;0.62 ;0 ;-4.21 ;0.62 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
47.08 ;0 ; ;0.62 ;0 ;-4.21 ;0.62 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
47.1 ;0 ; ;0.62 ;0 ;-4.21 ;0.62 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
47.12 ;0 ; ;0.62 ;0 ;-4.21 ;0.62 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
47.14 ;0 ; ;0.62 ;0 ;-4.21 ;0.62 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
47.16 ;0 ; ;0.62 ;0 ;-4.21 ;0.62 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
47.18 ;0 ; ;0.62 ;0 ;-4.21 ;0.62 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
47.2 ;0 ; ;0.62 ;0 ;-4.21 ;0.62 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
47.22 ;0 ; ;0.62 ;0 ;-4.21 ;0.62 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
47.24 ;0 ; ;0.1889218 ;1.654161 ;-3.642754 ;0.1889218 ;1.654161 ;0.5672457 ;0.4205922 ;0.02039497 ;0.2456018 ;0.8731357 ;0.4205922 ;0.02039497 ;0.2456018 ;0.8731357 ;
47.26 ;0 ; ;0.2410764 ;1.625449 ;-3.739742 ;0.2410764 ;1.625449 ;0.4702583 ;0.4929783 ;0.07209128 ;0.2445323 ;0.8318529 ;0.4929783 ;0.07209128 ;0.2445323 ;0.8318529 ;
47.28 ;0 ; ;0.2425378 ;1.626283 ;-3.739709 ;0.2425378 ;1.626283 ;0.4702907 ;0.4923038 ;0.0768003 ;0.2417416 ;0.8326462 ;0.4923038 ;0.0768003 ;0.2417416 ;0.8326462 ;
47.3 ;0 ; ;0.2430125 ;1.626887 ;-3.73945 ;0.2430125 ;1.626887 ;0.4705501 ;0.4918854 ;0.07900824 ;0.2402521 ;0.8331179 ;0.4918854 ;0.07900824 ;0.2402521 ;0.8331179 ;
47.32 ;0 ; ;0.2451048 ;1.626817 ;-3.741612 ;0.2451048 ;1.626817 ;0.4683879 ;0.493396 ;0.08273964 ;0.2386281 ;0.8323288 ;0.493396 ;0.08273964 ;0.2386281 ;0.8323288 ;
47.34 ;0 ; ;0.2454024 ;1.627466 ;-3.741275 ;0.2454024 ;1.627466 ;0.4687253 ;0.492956 ;0.08457367 ;0.2372518 ;0.8327985 ;0.492956 ;0.08457367 ;0.2372518 ;0.8327985 ;
47.36 ;0 ; ;0.2424081 ;1.629521 ;-3.73614 ;0.2424081 ;1.629521 ;0.4738602 ;0.4893707 ;0.08434762 ;0.2334176 ;0.8360132 ;0.4893707 ;0.08434762 ;0.2334176 ;0.8360132 ;
47.38 ;0 ; ;0.2412832 ;1.63015 ;-3.734638 ;0.2412832 ;1.63015 ;0.4753621 ;0.4875699 ;0.0827741 ;0.2340035 ;0.8370582 ;0.4875699 ;0.0827741 ;0.2340035 ;0.8370582 ;
47.4 ;0 ; ;0.2395508 ;1.631261 ;-3.73219 ;0.2395508 ;1.631261 ;0.4778103 ;0.4849685 ;0.08151595 ;0.2345089 ;0.8385501 ;0.4849685 ;0.08151595 ;0.2345089 ;0.8385501 ;
47.42 ;0 ; ;0.239108 ;1.631679 ;-3.731292 ;0.239108 ;1.631679 ;0.4787082 ;0.4840798 ;0.08166244 ;0.2340929 ;0.8391653 ;0.4840798 ;0.08166244 ;0.2340929 ;0.8391653 ;
47.44 ;0 ; ;0.2373058 ;1.632945 ;-3.728139 ;0.2373058 ;1.632945 ;0.4818609 ;0.4813732 ;0.0814306 ;0.2326758 ;0.8411367 ;0.4813732 ;0.0814306 ;0.2326758 ;0.8411367 ;
47.46 ;0 ; ;0.2354137 ;1.634047 ;-3.72532 ;0.2354137 ;1.634047 ;0.4846798 ;0.4791863 ;0.079615 ;0.2323409 ;0.8426504 ;0.4791863 ;0.079615 ;0.2323409 ;0.8426504 ;
47.48 ;0 ; ;0.2338016 ;1.635346 ;-3.722892 ;0.2338016 ;1.635346 ;0.4871083 ;0.4761583 ;0.07813994 ;0.232818 ;0.8443715 ;0.4761583 ;0.07813994 ;0.232818 ;0.8443715 ;
47.5 ;0 ; ;0.231384 ;1.637307 ;-3.718808 ;0.231384 ;1.637307 ;0.4911915 ;0.4721507 ;0.07671773 ;0.2322192 ;0.8469135 ;0.4721507 ;0.07671773 ;0.2322192 ;0.8469135 ;
47.52 ;0 ; ;0.2302549 ;1.638255 ;-3.716819 ;0.2302549 ;1.638255 ;0.4931814 ;0.4702722 ;0.07589358 ;0.2314356 ;0.8482463 ;0.4702722 ;0.07589358 ;0.2314356 ;0.8482463 ;
47.54 ;0 ; ;0.2286246 ;1.639627 ;-3.713906 ;0.2286246 ;1.639627 ;0.4960943 ;0.4673737 ;0.07517096 ;0.2306457 ;0.8501257 ;0.4673737 ;0.07517096 ;0.2306457 ;0.8501257 ;
47.56 ;0 ; ;0.2268759 ;1.641206 ;-3.710783 ;0.2268759 ;1.641206 ;0.4992169 ;0.464067 ;0.07347823 ;0.2299157 ;0.8522803 ;0.464067 ;0.07347823 ;0.2299157 ;0.8522803 ;
47.58 ;0 ; ;0.2242896 ;1.643756 ;-3.705796 ;0.2242896 ;1.643756 ;0.5042036 ;0.457767 ;0.07101635 ;0.2293606 ;0.8560373 ;0.457767 ;0.07101635 ;0.2293606 ;0.8560373 ;
47.6 ;0 ; ;0.2233101 ;1.644584 ;-3.703827 ;0.2233101 ;1.644584 ;0.5061731 ;0.4558432 ;0.06998344 ;0.2297749 ;0.8570372 ;0.4558432 ;0.06998344 ;0.2297749 ;0.8570372 ;
47.62 ;0 ; ;0.2216187 ;1.646048 ;-3.700216 ;0.2216187 ;1.646048 ;0.5097836 ;0.4526808 ;0.06856471 ;0.2298571 ;0.8588042 ;0.4526808 ;0.06856471 ;0.2298571 ;0.8588042 ;
47.64 ;0 ; ;0.2206513 ;1.646898 ;-3.698364 ;0.2206513 ;1.646898 ;0.5116358 ;0.4507738 ;0.06784014 ;0.2296604 ;0.8599167 ;0.4507738 ;0.06784014 ;0.2296604 ;0.8599167 ;
47.66 ;0 ; ;0.2196838 ;1.647748 ;-3.696512 ;0.2196838 ;1.647748 ;0.5134876 ;0.4488643 ;0.06711522 ;0.2294625 ;0.8610246 ;0.4488643 ;0.06711522 ;0.2294625 ;0.8610246 ;
47.68 ;0 ; ;0.2191439 ;1.648512 ;-3.693823 ;0.2191439 ;1.648512 ;0.5161769 ;0.4471156 ;0.06708037 ;0.2285118 ;0.8621892 ;0.4471156 ;0.06708037 ;0.2285118 ;0.8621892 ;
47.7 ;0 ; ;0.2193511 ;1.648001 ;-3.693419 ;0.2193511 ;1.648001 ;0.5165814 ;0.4476675 ;0.0670288 ;0.2297261 ;0.8615839 ;0.4476675 ;0.0670288 ;0.2297261 ;0.8615839 ;
47.72 ;0 ; ;0.2186344 ;1.648397 ;-3.691753 ;0.2186344 ;1.648397 ;0.5182472 ;0.4468799 ;0.06563874 ;0.2304045 ;0.8619186 ;0.4468799 ;0.06563874 ;0.2304045 ;0.8619186 ;
47.74 ;0 ; ;0.2180101 ;1.648867 ;-3.690348 ;0.2180101 ;1.648867 ;0.5196525 ;0.4457288 ;0.06506395 ;0.230428 ;0.8625517 ;0.4457288 ;0.06506395 ;0.230428 ;0.8625517 ;
47.76 ;0 ; ;0.2172899 ;1.649069 ;-3.688662 ;0.2172899 ;1.649069 ;0.5213377 ;0.4445318 ;0.06363166 ;0.2314005 ;0.8630158 ;0.4445318 ;0.06363166 ;0.2314005 ;0.8630158 ;
47.78 ;0 ; ;0.2184837 ;1.647803 ;-3.690108 ;0.2184837 ;1.647803 ;0.5198918 ;0.4474967 ;0.06560066 ;0.2318128 ;0.8612236 ;0.4474967 ;0.06560066 ;0.2318128 ;0.8612236 ;
47.8 ;0 ; ;0.2187994 ;1.647419 ;-3.690318 ;0.2187994 ;1.647419 ;0.5196821 ;0.448191 ;0.06603447 ;0.2318349 ;0.8608233 ;0.448191 ;0.06603447 ;0.2318349 ;0.8608233 ;
47.82 ;0 ; ;0.2187912 ;1.646796 ;-3.690367 ;0.2187912 ;1.646796 ;0.5196326 ;0.4484806 ;0.06541274 ;0.2327264 ;0.8604794 ;0.4484806 ;0.06541274 ;0.2327264 ;0.8604794 ;
47.84 ;0 ; ;0.218687 ;1.646528 ;-3.690249 ;0.218687 ;1.646528 ;0.5197508 ;0.448618 ;0.06490887 ;0.2332352 ;0.8603081 ;0.448618 ;0.06490887 ;0.2332352 ;0.8603081 ;
47.86 ;0 ; ;0.2186644 ;1.646525 ;-3.690189 ;0.2186644 ;1.646525 ;0.5198108 ;0.4485973 ;0.0648806 ;0.2332615 ;0.8603139 ;0.4485973 ;0.0648806 ;0.2332615 ;0.8603139 ;
47.88 ;0 ; ;0.2187391 ;1.644948 ;-3.691847 ;0.2187391 ;1.644948 ;0.5181531 ;0.4518045 ;0.06327168 ;0.2341015 ;0.8585254 ;0.4518045 ;0.06327168 ;0.2341015 ;0.8585254 ;
47.9 ;0 ; ;0.2187137 ;1.643895 ;-3.693006 ;0.2187137 ;1.643895 ;0.5169945 ;0.4530114 ;0.06141419 ;0.2366644 ;0.8573208 ;0.4530114 ;0.06141419 ;0.2366644 ;0.8573208 ;
47.92 ;0 ; ;0.2187187 ;1.643409 ;-3.693574 ;0.2187187 ;1.643409 ;0.5164256 ;0.4539318 ;0.06118534 ;0.2360282 ;0.8570257 ;0.4539318 ;0.06118534 ;0.2360282 ;0.8570257 ;
47.94 ;0 ; ;0.2186319 ;1.642709 ;-3.694203 ;0.2186319 ;1.642709 ;0.515797 ;0.4550509 ;0.06046113 ;0.2361137 ;0.8564599 ;0.4550509 ;0.06046113 ;0.2361137 ;0.8564599 ;
47.96 ;0 ; ;0.2186297 ;1.642699 ;-3.694207 ;0.2186297 ;1.642699 ;0.5157927 ;0.4550631 ;0.06044852 ;0.236122 ;0.856452 ;0.4550631 ;0.06044852 ;0.236122 ;0.856452 ;
