RightController  ;
timestamp; status;interrupt;globalPosition; ; ;localPosition; ; ;globalRotation; ; ; ;localRotation; ; ; ;
msec; Game Status; code;x; y; z;x; y; z;x; y; z; w;x; y; z; w;
0 ;0 ;5 ;0.62 ;0 ;-4.21 ;0.62 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
-0.01190186 ;0 ; ;0.62 ;0 ;-4.21 ;0.62 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
0.008117676 ;0 ; ;1.623628 ;1.168041 ;-1.60279 ;1.623628 ;1.168041 ;2.60721 ;0.1524682 ;-0.06120425 ;0.2851072 ;0.9443101 ;0.1524682 ;-0.06120425 ;0.2851072 ;0.9443101 ;
0.02813721 ;0 ; ;1.622023 ;1.16864 ;-1.609525 ;1.622023 ;1.16864 ;2.600475 ;0.146967 ;-0.08056874 ;0.2914453 ;0.9417903 ;0.146967 ;-0.08056874 ;0.2914453 ;0.9417903 ;
0.0480957 ;0 ; ;1.622087 ;1.168444 ;-1.609286 ;1.622087 ;1.168444 ;2.600714 ;0.1477749 ;-0.07999262 ;0.2913007 ;0.9417578 ;0.1477749 ;-0.07999262 ;0.2913007 ;0.9417578 ;
0.06811523 ;0 ; ;1.621482 ;1.167667 ;-1.61022 ;1.621482 ;1.167667 ;2.59978 ;0.1460452 ;-0.08372446 ;0.2936213 ;0.9409822 ;0.1460452 ;-0.08372446 ;0.2936213 ;0.9409822 ;
0.08813477 ;0 ; ;1.621211 ;1.167252 ;-1.610324 ;1.621211 ;1.167252 ;2.599676 ;0.148122 ;-0.08482692 ;0.2926541 ;0.9408602 ;0.148122 ;-0.08482692 ;0.2926541 ;0.9408602 ;
0.1080933 ;0 ; ;1.620182 ;1.166776 ;-1.610186 ;1.620182 ;1.166776 ;2.599814 ;0.147194 ;-0.08563858 ;0.2926741 ;0.9409261 ;0.147194 ;-0.08563858 ;0.2926741 ;0.9409261 ;
0.1281128 ;0 ; ;1.619037 ;1.165686 ;-1.609779 ;1.619037 ;1.165686 ;2.600221 ;0.1465871 ;-0.08785452 ;0.2943775 ;0.940285 ;0.1465871 ;-0.08785452 ;0.2943775 ;0.940285 ;
0.1481323 ;0 ; ;1.618112 ;1.165176 ;-1.609928 ;1.618112 ;1.165176 ;2.600072 ;0.1451197 ;-0.09006427 ;0.2958339 ;0.9398463 ;0.1451197 ;-0.09006427 ;0.2958339 ;0.9398463 ;
0.1680908 ;0 ; ;1.617399 ;1.164635 ;-1.609853 ;1.617399 ;1.164635 ;2.600147 ;0.143811 ;-0.09148823 ;0.2975198 ;0.9393777 ;0.143811 ;-0.09148823 ;0.2975198 ;0.9393777 ;
0.1881104 ;0 ; ;1.615961 ;1.161021 ;-1.607327 ;1.615961 ;1.161021 ;2.602673 ;0.1470591 ;-0.08638985 ;0.301868 ;0.9379692 ;0.1470591 ;-0.08638985 ;0.301868 ;0.9379692 ;
0.2081299 ;0 ; ;1.615361 ;1.160416 ;-1.606873 ;1.615361 ;1.160416 ;2.603127 ;0.1474161 ;-0.08600037 ;0.3019128 ;0.9379345 ;0.1474161 ;-0.08600037 ;0.3019128 ;0.9379345 ;
