HMD  ;
timestamp; status;interrupt;globalPosition; ; ;localPosition; ; ;globalRotation; ; ; ;localRotation; ; ; ;
msec; Game Status; code;x; y; z;x; y; z;x; y; z; w;x; y; z; w;
0 ;0 ;5 ;0 ;0 ;-4.21 ;0 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
-0.01000977 ;0 ; ;0 ;0 ;-4.21 ;0 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
0.009994507 ;0 ; ;-0.05674732 ;1.830079 ;-4.635699 ;-0.05674732 ;1.830079 ;-0.4256988 ;0.008716776 ;-0.004416307 ;0.008867706 ;0.9999129 ;0.008716776 ;-0.004416307 ;0.008867706 ;0.9999129 ;
0.02999878 ;0 ; ;-0.05403984 ;1.829774 ;-4.635027 ;-0.05403984 ;1.829774 ;-0.4250271 ;0.009095724 ;-0.003050378 ;0.007167054 ;0.9999283 ;0.009095724 ;-0.003050378 ;0.007167054 ;0.9999283 ;
0.04998779 ;0 ; ;-0.05336106 ;1.829695 ;-4.634855 ;-0.05336106 ;1.829695 ;-0.4248552 ;0.009214237 ;-0.00270776 ;0.006716576 ;0.9999313 ;0.009214237 ;-0.00270776 ;0.006716576 ;0.9999313 ;
0.06999207 ;0 ; ;-0.05174327 ;1.829524 ;-4.634409 ;-0.05174327 ;1.829524 ;-0.4244087 ;0.009295928 ;-0.001937869 ;0.005389913 ;0.9999404 ;0.009295928 ;-0.001937869 ;0.005389913 ;0.9999404 ;
0.08999634 ;0 ; ;-0.05078435 ;1.829348 ;-4.634096 ;-0.05078435 ;1.829348 ;-0.4240961 ;0.009580732 ;-0.001486768 ;0.005359326 ;0.9999387 ;0.009580732 ;-0.001486768 ;0.005359326 ;0.9999387 ;
0.1100006 ;0 ; ;-0.04989946 ;1.829308 ;-4.633846 ;-0.04989946 ;1.829308 ;-0.4238465 ;0.00958351 ;-0.001035677 ;0.004992089 ;0.9999411 ;0.00958351 ;-0.001035677 ;0.004992089 ;0.9999411 ;
0.1299896 ;0 ; ;-0.0480752 ;1.82921 ;-4.633307 ;-0.0480752 ;1.82921 ;-0.4233077 ;0.009525693 ;0.0007553962 ;0.003771488 ;0.9999472 ;0.009525693 ;0.0007553962 ;0.003771488 ;0.9999472 ;
0.1499939 ;0 ; ;-0.04718709 ;1.829137 ;-4.633072 ;-0.04718709 ;1.829137 ;-0.4230721 ;0.009881646 ;0.001552121 ;0.003166994 ;0.999945 ;0.009881646 ;0.001552121 ;0.003166994 ;0.999945 ;
0.1699982 ;0 ; ;-0.0452199 ;1.828816 ;-4.632607 ;-0.0452199 ;1.828816 ;-0.4226074 ;0.01133706 ;0.003763934 ;0.002176821 ;0.9999263 ;0.01133706 ;0.003763934 ;0.002176821 ;0.9999263 ;
0.1900024 ;0 ; ;-0.04424441 ;1.828539 ;-4.632317 ;-0.04424441 ;1.828539 ;-0.4223166 ;0.01233111 ;0.005419795 ;0.001429628 ;0.9999083 ;0.01233111 ;0.005419795 ;0.001429628 ;0.9999083 ;
0.2099915 ;0 ; ;-0.04248989 ;1.82806 ;-4.631753 ;-0.04248989 ;1.82806 ;-0.4217527 ;0.01366022 ;0.008034998 ;1.576123E-05 ;0.9998744 ;0.01366022 ;0.008034998 ;1.576123E-05 ;0.9998744 ;
0.2299957 ;0 ; ;-0.04163861 ;1.827703 ;-4.63146 ;-0.04163861 ;1.827703 ;-0.4214602 ;0.01446176 ;0.00925654 ;-0.0008340755 ;0.9998522 ;0.01446176 ;0.00925654 ;-0.0008340755 ;0.9998522 ;
0.25 ;0 ; ;-0.04003572 ;1.827076 ;-4.630941 ;-0.04003572 ;1.827076 ;-0.4209416 ;0.01615621 ;0.01163219 ;-0.002154624 ;0.9997995 ;0.01615621 ;0.01163219 ;-0.002154624 ;0.9997995 ;
0.269989 ;0 ; ;-0.03922224 ;1.826843 ;-4.630694 ;-0.03922224 ;1.826843 ;-0.4206946 ;0.01682946 ;0.01275025 ;-0.002817643 ;0.9997731 ;0.01682946 ;0.01275025 ;-0.002817643 ;0.9997731 ;
0.2899933 ;0 ; ;-0.03883898 ;1.826563 ;-4.630507 ;-0.03883898 ;1.826563 ;-0.420507 ;0.0179102 ;0.01338345 ;-0.003442413 ;0.9997441 ;0.0179102 ;0.01338345 ;-0.003442413 ;0.9997441 ;
0.3099976 ;0 ; ;-0.037781 ;1.826248 ;-4.630119 ;-0.037781 ;1.826248 ;-0.420119 ;0.01893625 ;0.01488948 ;-0.004630025 ;0.9996991 ;0.01893625 ;0.01488948 ;-0.004630025 ;0.9996991 ;
0.3300018 ;0 ; ;-0.03733814 ;1.826114 ;-4.629974 ;-0.03733814 ;1.826114 ;-0.4199741 ;0.01937394 ;0.01556012 ;-0.005100806 ;0.9996782 ;0.01937394 ;0.01556012 ;-0.005100806 ;0.9996782 ;
0.3499908 ;0 ; ;-0.0366081 ;1.825787 ;-4.62977 ;-0.0366081 ;1.825787 ;-0.4197705 ;0.02011948 ;0.01686051 ;-0.005686384 ;0.9996393 ;0.02011948 ;0.01686051 ;-0.005686384 ;0.9996393 ;
0.3699951 ;0 ; ;-0.03613269 ;1.825606 ;-4.629631 ;-0.03613269 ;1.825606 ;-0.419631 ;0.02062116 ;0.01764551 ;-0.006160673 ;0.9996127 ;0.02062116 ;0.01764551 ;-0.006160673 ;0.9996127 ;
0.3899994 ;0 ; ;-0.0358516 ;1.825498 ;-4.629553 ;-0.0358516 ;1.825498 ;-0.4195533 ;0.02094943 ;0.01814538 ;-0.006155966 ;0.9995969 ;0.02094943 ;0.01814538 ;-0.006155966 ;0.9995969 ;
0.4099884 ;0 ; ;-0.03662145 ;1.825698 ;-4.62984 ;-0.03662145 ;1.825698 ;-0.4198403 ;0.01855813 ;0.01723386 ;-0.004634226 ;0.9996685 ;0.01855813 ;0.01723386 ;-0.004634226 ;0.9996685 ;
0.4299927 ;0 ; ;-0.03673577 ;1.82589 ;-4.629999 ;-0.03673577 ;1.82589 ;-0.4199989 ;0.01722507 ;0.01694713 ;-0.004142237 ;0.9996994 ;0.01722507 ;0.01694713 ;-0.004142237 ;0.9996994 ;
0.4499969 ;0 ; ;-0.03720057 ;1.82645 ;-4.630425 ;-0.03720057 ;1.82645 ;-0.4204249 ;0.01462537 ;0.0161207 ;-0.003396197 ;0.9997573 ;0.01462537 ;0.0161207 ;-0.003396197 ;0.9997573 ;
0.4700012 ;0 ; ;-0.03714836 ;1.826521 ;-4.630487 ;-0.03714836 ;1.826521 ;-0.4204874 ;0.01399971 ;0.01614322 ;-0.003260359 ;0.9997663 ;0.01399971 ;0.01614322 ;-0.003260359 ;0.9997663 ;
0.4899902 ;0 ; ;-0.03796685 ;1.827506 ;-4.630973 ;-0.03796685 ;1.827506 ;-0.4209733 ;0.009906051 ;0.01492132 ;-0.002296491 ;0.999837 ;0.009906051 ;0.01492132 ;-0.002296491 ;0.999837 ;
0.5099945 ;0 ; ;-0.03838933 ;1.827865 ;-4.631348 ;-0.03838933 ;1.827865 ;-0.4213476 ;0.008364238 ;0.01431817 ;-0.001546792 ;0.9998614 ;0.008364238 ;0.01431817 ;-0.001546792 ;0.9998614 ;
0.5299988 ;0 ; ;-0.03906918 ;1.828183 ;-4.631944 ;-0.03906918 ;1.828183 ;-0.4219441 ;0.006505748 ;0.01364879 ;-0.0007897651 ;0.9998854 ;0.006505748 ;0.01364879 ;-0.0007897651 ;0.9998854 ;
0.5499878 ;0 ; ;-0.03953731 ;1.828267 ;-4.6321 ;-0.03953731 ;1.828267 ;-0.4221003 ;0.006180857 ;0.01324961 ;-0.0002856228 ;0.9998931 ;0.006180857 ;0.01324961 ;-0.0002856228 ;0.9998931 ;
0.5699921 ;0 ; ;-0.04007339 ;1.828575 ;-4.632504 ;-0.04007339 ;1.828575 ;-0.4225047 ;0.004685252 ;0.01253327 ;0.0004490449 ;0.9999104 ;0.004685252 ;0.01253327 ;0.0004490449 ;0.9999104 ;
0.5899963 ;0 ; ;-0.0403285 ;1.828729 ;-4.63272 ;-0.0403285 ;1.828729 ;-0.42272 ;0.003862 ;0.01220797 ;0.0008161244 ;0.9999177 ;0.003862 ;0.01220797 ;0.0008161244 ;0.9999177 ;
0.6100006 ;0 ; ;-0.04081905 ;1.828331 ;-4.63272 ;-0.04081905 ;1.828331 ;-0.42272 ;0.006298609 ;0.0118007 ;-4.360106E-05 ;0.9999105 ;0.006298609 ;0.0118007 ;-4.360106E-05 ;0.9999105 ;
0.6299896 ;0 ; ;-0.0414418 ;1.828157 ;-4.632872 ;-0.0414418 ;1.828157 ;-0.4228716 ;0.00787503 ;0.01088148 ;0.0003150603 ;0.9999098 ;0.00787503 ;0.01088148 ;0.0003150603 ;0.9999098 ;
0.6499939 ;0 ; ;-0.04172373 ;1.828141 ;-4.632905 ;-0.04172373 ;1.828141 ;-0.4229047 ;0.008254705 ;0.0103858 ;0.0004545912 ;0.9999119 ;0.008254705 ;0.0103858 ;0.0004545912 ;0.9999119 ;
0.6699982 ;0 ; ;-0.0422498 ;1.828076 ;-4.633047 ;-0.0422498 ;1.828076 ;-0.4230466 ;0.008491551 ;0.009403558 ;0.0009635025 ;0.9999193 ;0.008491551 ;0.009403558 ;0.0009635025 ;0.9999193 ;
0.6900024 ;0 ; ;-0.04252481 ;1.828044 ;-4.633148 ;-0.04252481 ;1.828044 ;-0.4231482 ;0.008582903 ;0.008976332 ;0.001193485 ;0.9999222 ;0.008582903 ;0.008976332 ;0.001193485 ;0.9999222 ;
0.7099915 ;0 ; ;-0.04286826 ;1.827271 ;-4.63249 ;-0.04286826 ;1.827271 ;-0.4224901 ;0.01014692 ;0.007727922 ;0.001722568 ;0.9999172 ;0.01014692 ;0.007727922 ;0.001722568 ;0.9999172 ;
0.7299957 ;0 ; ;-0.04298449 ;1.826939 ;-4.632328 ;-0.04298449 ;1.826939 ;-0.422328 ;0.01127704 ;0.007358355 ;0.002012263 ;0.9999073 ;0.01127704 ;0.007358355 ;0.002012263 ;0.9999073 ;
0.75 ;0 ; ;-0.04306626 ;1.826645 ;-4.632229 ;-0.04306626 ;1.826645 ;-0.4222291 ;0.01258017 ;0.006981102 ;0.002262373 ;0.999894 ;0.01258017 ;0.006981102 ;0.002262373 ;0.999894 ;
0.769989 ;0 ; ;-0.04314387 ;1.826041 ;-4.631974 ;-0.04314387 ;1.826041 ;-0.4219737 ;0.01508862 ;0.006538282 ;0.002481169 ;0.9998617 ;0.01508862 ;0.006538282 ;0.002481169 ;0.9998617 ;
