LeftController  ;
timestamp; status;interrupt;globalPosition; ; ;localPosition; ; ;globalRotation; ; ; ;localRotation; ; ; ;
msec; Game Status; code;x; y; z;x; y; z;x; y; z; w;x; y; z; w;
0 ;0 ;5 ;-0.62 ;0 ;-4.21 ;-0.62 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
-0.01000977 ;0 ; ;-0.62 ;0 ;-4.21 ;-0.62 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
0.009994507 ;0 ; ;-0.1588945 ;1.206065 ;-4.362568 ;-0.1588945 ;1.206065 ;-0.1525679 ;0.06330396 ;-0.1141952 ;-0.02516099 ;0.9911201 ;0.06330396 ;-0.1141952 ;-0.02516099 ;0.9911201 ;
0.02999878 ;0 ; ;-0.1646167 ;1.199529 ;-4.365675 ;-0.1646167 ;1.199529 ;-0.1556749 ;0.07856392 ;-0.1102059 ;-0.04190259 ;0.9899124 ;0.07856392 ;-0.1102059 ;-0.04190259 ;0.9899124 ;
0.04998779 ;0 ; ;-0.164251 ;1.199498 ;-4.365582 ;-0.164251 ;1.199498 ;-0.1555812 ;0.07880162 ;-0.1093989 ;-0.04230752 ;0.9899658 ;0.07880162 ;-0.1093989 ;-0.04230752 ;0.9899658 ;
0.06999207 ;0 ; ;-0.1635931 ;1.199138 ;-4.365419 ;-0.1635931 ;1.199138 ;-0.1554189 ;0.07964184 ;-0.108347 ;-0.0432434 ;0.9899738 ;0.07964184 ;-0.108347 ;-0.0432434 ;0.9899738 ;
0.08999634 ;0 ; ;-0.1621542 ;1.198902 ;-4.365123 ;-0.1621542 ;1.198902 ;-0.1551225 ;0.07875213 ;-0.1068044 ;-0.04523741 ;0.9901235 ;0.07875213 ;-0.1068044 ;-0.04523741 ;0.9901235 ;
0.1100006 ;0 ; ;-0.1604887 ;1.198659 ;-4.364953 ;-0.1604887 ;1.198659 ;-0.1549525 ;0.07829852 ;-0.1054755 ;-0.04955276 ;0.9900954 ;0.07829852 ;-0.1054755 ;-0.04955276 ;0.9900954 ;
0.1299896 ;0 ; ;-0.1590407 ;1.198774 ;-4.364814 ;-0.1590407 ;1.198774 ;-0.1548138 ;0.07480108 ;-0.1057158 ;-0.05445844 ;0.9900824 ;0.07480108 ;-0.1057158 ;-0.05445844 ;0.9900824 ;
0.1499939 ;0 ; ;-0.1580789 ;1.198562 ;-4.364776 ;-0.1580789 ;1.198562 ;-0.1547756 ;0.07500212 ;-0.1039914 ;-0.05574328 ;0.9901784 ;0.07500212 ;-0.1039914 ;-0.05574328 ;0.9901784 ;
0.1699982 ;0 ; ;-0.156587 ;1.198216 ;-4.364597 ;-0.156587 ;1.198216 ;-0.154597 ;0.07488842 ;-0.1019866 ;-0.05822763 ;0.9902525 ;0.07488842 ;-0.1019866 ;-0.05822763 ;0.9902525 ;
0.1900024 ;0 ; ;-0.1549065 ;1.1985 ;-4.364735 ;-0.1549065 ;1.1985 ;-0.1547351 ;0.07541931 ;-0.09859715 ;-0.05840931 ;0.9905447 ;0.07541931 ;-0.09859715 ;-0.05840931 ;0.9905447 ;
