RightController  ;
timestamp; status;interrupt;globalPosition; ; ;localPosition; ; ;globalRotation; ; ; ;localRotation; ; ; ;
msec; Game Status; code;x; y; z;x; y; z;x; y; z; w;x; y; z; w;
10.02635 ;0 ;-1 ;0.62 ;0 ;-4.21 ;0.62 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
10.04 ;0 ;-1 ;0.62 ;0 ;-4.21 ;0.62 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
10.06 ;0 ;-1 ;0.62 ;0 ;-4.21 ;0.62 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
10.08 ;0 ;-1 ;0.62 ;0 ;-4.21 ;0.62 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
10.1 ;0 ;-1 ;0.62 ;0 ;-4.21 ;0.62 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
10.12 ;0 ;-1 ;0.62 ;0 ;-4.21 ;0.62 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
10.14 ;0 ;-1 ;0.62 ;0 ;-4.21 ;0.62 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
10.16 ;0 ;-1 ;0.62 ;0 ;-4.21 ;0.62 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
10.18 ;0 ;-1 ;0.62 ;0 ;-4.21 ;0.62 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
10.2 ;0 ;-1 ;0.62 ;0 ;-4.21 ;0.62 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
10.22 ;0 ;-1 ;0.62 ;0 ;-4.21 ;0.62 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
10.24 ;0 ;-1 ;0.62 ;0 ;-4.21 ;0.62 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
10.26 ;0 ;-1 ;0.62 ;0 ;-4.21 ;0.62 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
10.28 ;0 ;-1 ;0.62 ;0 ;-4.21 ;0.62 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
10.3 ;0 ;-1 ;0.62 ;0 ;-4.21 ;0.62 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
10.32 ;0 ;-1 ;0.62 ;0 ;-4.21 ;0.62 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
10.34 ;0 ;-1 ;0.62 ;0 ;-4.21 ;0.62 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
10.36 ;0 ;-1 ;0.62 ;0 ;-4.21 ;0.62 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
10.38 ;0 ;-1 ;0.62 ;0 ;-4.21 ;0.62 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;1 ;
